enterprise_value_q,FCFE,FCFE_Net_Income,FCFF_op_cash_with_tax,FCFF_ebit_with_tax
191993791.9,64223000,-68560000,66422424.2,88953171.5
189553098.9,13027000,27468000,2712082.9,7890928.6
189553098.9,26023000,22147000,10785840,-20077650
189553098.9,31905000,12115000,29691090.4,19149060
189553098.9,85522000,-47803000,102179300,47156370
200652171.5,29577000,-30155000,31539640,47440720
200652171.5,29592000,-34562000,20720372.4,40806354.4
200652171.5,15796000,-41330000,19590580,62032130
200652171.5,102267000,85797000,69695230,15079550
144620161.7,29104000,10888000,14607700,19022370
144620161.7,16134000,1022000,22597231.7,43553450.5
144620161.7,26411000,5267000,20654728,34874712
144620161.7,47012000,-33199000,58566250,63372460
155168752.7,30970000,10790000,22371590,25385070
154754054.8,19383000,-13794000,15903370,52710120
163983432.6,45395000,-19321000,35238612.6,78272726.6
163983432.6,54171000,37972000,55657120,-22283670
184324717.8,22857000,-25642000,16536780,33957500
168245613.9,41913000,32473000,26731390,11300490
179882897.9,12367000,3222000,14076430,20807990
184324717.8,40788000,-19222000,42148680,31962710
178151556,2831000,-8732000,13963870,21755030
176677740.8,-146000,-13677000,27074890,24116650
179015368.9,39411000,-54426000,85473033.4,66416059.9
178151556,48583000,-68976000,73043610,65209130
209896658.8,104517000,16020000,121415209.9,30023818.5
248938045.7,8754000,17055000,13504549.2,22378937.6
220141216.6,80560000,19190000,85075588,18771584.8
2520086.17,-244657,-1281581,1289226.42,-469695.41
3074078.33,2046290,2653001,1263122.85,-2105587.97
3058851.02,2652714,-418659,2006061.08,2787112.16
3056143.02,36714,330357,229780.33,292662.64
2589283.69,43018,-481626,562847.34,1028292.84
1844462.94,2744195,123430,3440126.32,941420.91
2919993.38,5053185,-126578,3042342.58,3636221.42
2944649.77,1788380,-926557,2061008.27,2349169.8
2095934.9,1806448,-29546,1278785.16,434466.56
2362684.38,411882,3543064,-96839.03,1696943.63
8995340.95,4158857,1511672,3242812.19,6372095.76
16259769.08,4855824,4669386,5306243.42,1492072.41
14968347.12,11424514,6308719,8122934.79,4273193.5
14323263.13,1293539,8340200,2160233.62,1492275.44
27492351.15,7064517,-8899526,8155466.87,13854213.14
15967191.35,13966129,6610427,8773524.3,139791.48
13639109.59,510133,-304455,1761890.25,4362199.59
15102375.08,14538713,16311156,3988719.07,-228922.2
18646382.11,-914201,-10372482,4318433.47,9031702.57
14115805.97,6238098,-3502590,6442707.12,2906536.79
15484513.29,-600303,-1347715,1188738.02,5123124.2
19422147.56,5204755,6179275,2070462.46,-2979218.78
17525323.19,-984696,-167040,-1506522.13,2087036.11
16498146.41,4900732,7601701,376609.75,3029113.04
16572202.55,3486841,3961087,3441431.78,3135639.74
13548082.43,2502562,1417746,7870037.42,1184602
15300743.7,-3444808,6934619,-2099286.04,3516836.31
23767537.53,9415566,12420339,7845372.2,120572.59
19022240.95,5058261,-132659,7702080.67,5464021.59
36340172.28,7591917,-1302787,9704351.89,7810438.5
38188012.38,5531110,-5897484,7147161.48,13279446.9
35983160.5,10893379,16745475,5295197.08,-2311160.65
41514588.98,2144826,-2745484,3834448.66,4755935.1
32719085,-374244,141787,2506453.24,5231896.9
25606115.48,4644466,-2232771,6339645.41,9401831.55
29452591.88,1556082,-1501658,3209209.4,8436362.07
29510463.91,17058819,-1075265,11094933.37,11236331.42
18827055.01,8636976,3278573,5410199.76,6349839.12
21284159.39,28368185,7293531,14988216.94,17494252.33
19707210.55,4054631,-4506237,11135921.12,6600788.01
17059423.53,8469611,-820419,10748338.7,3061833.76
288956447.5,84538000,-32704000,84687765,138422671
288956447.5,6638000,522553000,7911084,-443621887.6
190936922.3,578000,-24840000,10464240,30589540
190936922.3,-16189000,-17868000,-6654799.3,49808509.6
190936922.3,15013000,87981000,18571867.8,16685964.5
190936922.3,95234000,20748000,94412352.5,50665655
276929243.1,-19031000,-13933000,-14017220,20004830
276929243.1,-12650000,20305000,-2869141.4,5929793
276929243.1,57863000,100782000,60366004.5,2621177.5
276929243.1,127582000,79275000,58799689.9,53469586.4
299079543.2,-48114000,-22835000,-45233660,11176230
299079543.2,-3187000,-2031000,9400930,33052853.7
299079543.2,-12078000,33750000,-9063400,35579275
299079543.2,74534000,-40631000,78392950,13537480
324851959.2,-10762000,-29057000,-7918790,20403780
324851959.2,-47373000,39728000,-44898902.2,22121132.8
324851959.2,36516000,46482000,38295666.4,22040620.3
324851959.2,78349000,21893000,81806587.4,49631716.2
361616825.2,-706000,-14703000,2361840,29530700
361616825.2,-42173000,42788000,-39546885,10472607
361616825.2,57149000,89216000,59361975,8886105
361616825.2,66976000,24755000,85497773.4,49784463
481958594.4,12109000,-47621000,15767710,52882360
481958594.4,-21395000,39187000,-18181489.3,21456151.3
481958594.4,48237000,69016000,51584100.8,40484190.4
481958594.4,97194000,7747000,110337745.6,50669207.6
556409778,32398000,-63406000,35814970,41165030
556409778,22721000,25412000,25684384,36314940
556409778,57446000,77108000,60515174,50170454.9
556409778,71123000,36582000,89359434.7,50345565.3
421597485.3,-23578000,-55843000,-20404350,63827990
421597485.3,85900000,46349000,-16819630,104703060
421597485.3,130173000,280598000,136922980,-99761160
421597485.3,38084000,-1944000,92913697.7,33772062.8
500278949.2,-14209000,-72617000,-9135940,62450250
567553207.1,-1165000,-157673000,-31439180,60101980
383115978.8,63657000,86819000,79895345,8098855
678982904.7,-13000000,125000000,-13000000,47002200
526446937.5,10000000,2338000000,11403800,-2162598600
978702288.5,9000000,57000000,11300000,67300000
978702288.5,438000000,135000000,445028500,104026000
978702288.5,124000000,80000000,131078700,143084700
978702288.5,31000000,-389000000,38170500,578164800
831689949.4,251000000,56000000,255134000,192137600
831689949.4,9000000,165000000,22597000,64593600
831689949.4,108000000,295000000,110370000,33860000
831689949.4,350000000,172000000,358913000,40912000
840452932.6,-91000000,118000000,-89180000,97820000
840452932.6,59000000,177000000,70691000,56687500
840452932.6,64000000,-26000000,65580000,-51860000
840452932.6,171000000,-47000000,170813800,132814900
926466401.1,-73000000,295000000,-72254200,-88249800
926466401.1,7000000,-45000000,16857100,248852600
926466401.1,195000000,58000000,191384600,-119615600
926466401.1,232000000,-499000000,234630000,448350000
390522190.5,-4000000,-167000000,-2000000,140620000
390522190.5,170000000,129000000,170000000,-38090000
404731347.9,-35000000,129000000,-28000000,3999000
404731347.9,58000000,24000000,58000000,105996800
404731347.9,130000000,51000000,140895900,55898200
655576455.5,-18000000,29000000,-18000000,72997600
655576455.5,7000000,44000000,13342800,66340800
655576455.5,672000000,410000000,24370000,144910000
655576455.5,52000000,168000000,60740000,-249960000
715196651.8,-112000000,97000000,-108300000,6700000
715196651.8,143000000,-339000000,331928500,339927100
715196651.8,28000000,106000000,32426200,10425900
715196651.8,-47000000,287000000,-39050000,33230000
663131509.1,-51000000,171000000,-116186200,205809400
663131509.1,579000000,595000000,108064900,22066300
663131509.1,166000000,191000000,90210000,55208000
663131509.1,286000000,352000000,148351200,-61648000
897721427.2,48000000,-13000000,67857500,158858300
1097488002,-8000000,-27000000,55909800,142911600
1060438385,115000000,111000000,139500000,67500000
283575357.7,32639000,49501000,42864582.3,16353231
324381221.9,134500000,-76482000,49279233.6,243349195.2
336408288.1,33476000,8671000,44998032,31748474.5
336408288.1,-8589000,18095000,6077529.3,33437501.3
336408288.1,75637000,40063000,85369509,48396136.2
336408288.1,119632000,55635000,130478598,51200840
493108086.7,56666000,41573000,69768111.2,27408910.6
493108086.7,-32758000,12501000,-22434437,113609559
493108086.7,-8402000,105774000,-37735980.9,38418976.3
493108086.7,100295000,-13287000,97974304,87398803
616648138.3,29165000,1430000,63314499.9,46217822.3
616648138.3,-30542000,142772000,-31398518.2,-26334462.2
616648138.3,74496000,-98244000,143791607.2,138304034
616648138.3,203175000,211757000,91253892.7,36504821.5
830308362.7,145449000,243076000,54576910,-39944726
830308362.7,81173000,112675000,33984391.8,86188735.5
830308362.7,95381000,-32109000,154626404.8,155671585.6
830308362.7,53835000,55105000,95687511.9,76141346.2
740481814.9,74306000,135675000,19200052.8,25438366.4
740481814.9,255088000,280220000,110361431,21499265
