enterprise_value_q,cost_of_equity,used_growth_rate,levered_wacc,FCFE,FCFE_Net_Income,FCFF_op_cash_with_tax,FCFF_ebit_with_tax,ev_sales_valuation,ebitda_valuation
350654762.50,0.20,0.01,0.09,48901000.00,121535000.00,9235872.60,5211192.00,286580121.90,773205849.90
670169178.00,0.20,0.02,0.09,38589000.00,66297000.00,33022219.10,34922431.00,303414521.60,871198692.50
670169178.00,0.19,0.01,0.09,59750000.00,-55376000.00,97169620.50,91497494.00,425817392.00,356883316.70
670169178.00,0.20,0.02,0.09,87730000.00,35280000.00,82555688.00,66729084.00,475324778.40,492506965.00
670169178.00,0.22,0.02,0.09,122161000.00,155221000.00,48857826.60,46208087.20,558460734.20,674852560.80
906270892.90,0.24,0.02,0.09,240902000.00,341920000.00,17587352.30,9324653.80,636454030.90,673771831.90
906270892.90,0.23,0.01,0.09,96463000.00,-34242000.00,130293240.00,100717050.00,873604013.00,665149109.50
906270892.90,0.29,0.02,0.10,75219000.00,53118000.00,85337014.90,76194491.30,1037833198.00,968114967.90
906270892.90,0.26,0.03,0.09,211221000.00,-72379000.00,250118692.00,216363482.40,1232259941.00,1311323410.00
884263047.40,0.26,0.03,0.09,66521000.00,239894000.00,4210542.50,4988432.50,1247974726.00,1314447311.00
884263047.40,0.25,0.01,0.09,105099000.00,-44678000.00,148307831.80,131732986.00,1138418914.00,871167138.60
884263047.40,0.27,0.02,0.09,162446000.00,115886000.00,106548412.80,104257011.20,1276766788.00,1142963774.00
884263047.40,0.24,0.02,0.09,144941000.00,-94435000.00,222034136.50,197433237.10,1266779489.00,1264013132.00
655978287.40,0.24,0.02,0.09,108036000.00,860000.00,119143018.80,143474362.40,1227856465.00,1020564032.00
655978287.40,0.27,0.02,0.09,130711000.00,80758000.00,143306870.00,48791960.00,942593568.00,468533568.50
655978287.40,0.24,0.01,0.10,54261000.00,36324000.00,66462648.80,87424350.00,1052289185.00,664844881.10
655978287.40,0.23,0.02,0.10,51434000.00,56168000.00,66188789.00,93562635.00,1150263046.00,832411961.30
655978287.40,0.25,0.01,0.10,95705000.00,280010000.00,-42761.00,-21093121.40,1220428127.00,818922230.30
655978287.40,0.28,-0.01,0.09,172672000.00,-44017000.00,189780130.00,114173920.00,1315859334.00,813297964.90
615916813.10,0.26,0.01,0.10,-10354000.00,40263000.00,-1823929.10,89507380.30,1465485078.00,1496678789.00
702036678.80,0.27,0.01,0.10,49560000.00,217988000.00,-6403507.40,10331122.80,1554211168.00,1944951618.00
1474646065.00,0.14,0.02,0.12,204330000.00,274258000.00,209116005.50,140736843.70,3067112668.00,2508058768.00
1474646065.00,0.14,0.02,0.11,396094000.00,3136315000.00,406299218.00,-2753037677.00,3100428019.00,2491229663.00
1616293407.00,0.14,0.02,0.13,-217727000.00,309575000.00,-205641027.20,48254625.20,2539201490.00,1188799403.00
1488117307.00,0.14,0.02,0.11,86823000.00,158416000.00,88412944.00,249428383.00,2659617598.00,1281363354.00
1701099897.00,0.14,-0.01,-2.69,502921000.00,-124943000.00,415371557.50,25339585.00,2845129312.00,230751774.30
2408234257.00,0.14,0.01,0.09,377518000.00,198969000.00,382384030.00,35018940.00,2718860841.00,330872696.30
2685509596.00,0.14,0.02,0.11,381777000.00,-8720000.00,414903928.70,355874137.50,2726783602.00,1515461585.00
2272348027.00,0.14,0.02,0.13,104207000.00,224764000.00,146205007.20,170467436.00,3253025466.00,1731775506.00
1540578135.00,0.16,0.01,0.07,837477000.00,813459000.00,349124252.40,49480504.40,3255040184.00,1439400438.00
1773564582.00,0.16,0.02,0.07,265018000.00,-102886000.00,274467060.90,513686796.20,3370694247.00,1550158401.00
2160571495.00,0.16,0.02,0.07,-30308000.00,409986000.00,-25129747.20,8662014.40,3918850506.00,1693062529.00
1654462422.00,0.16,0.02,0.07,181481000.00,326519000.00,185631436.00,103362496.00,4441027435.00,1922361406.00
1872853070.00,0.16,0.01,0.07,481479000.00,287568000.00,486286723.00,111618115.90,4445891337.00,1810795598.00
2007523964.00,0.17,0.00,0.09,115973000.00,-348733000.00,128791030.00,380958590.00,4375282215.00,-183822191.30
2243510397.00,0.16,0.02,0.07,-6881000.00,286877000.00,23940937.00,134024686.00,4997809875.00,3506346818.00
1957586535.00,0.16,0.02,0.07,305365000.00,321512000.00,309485692.80,114012723.60,5001081644.00,3419994182.00
2348809045.00,0.16,0.02,0.08,514946000.00,313760000.00,519292414.00,143752756.80,4649066070.00,3496059989.00
2793103741.00,0.16,0.02,0.08,163500000.00,101266000.00,168211551.60,325545077.20,4375854628.00,3281760149.00
2666087811.00,0.16,0.02,0.08,228785000.00,29183000.00,233309432.00,370909624.00,3377900625.00,3822029677.00
2605386085.00,0.15,0.01,0.07,298682000.00,28670000.00,302204268.50,223479751.30,3294484364.00,2999245510.00
2244877158.00,0.15,0.00,0.07,29901000.00,-7480000.00,32158474.60,247100778.40,3412682493.00,3233639475.00
2098456161.00,0.20,0.02,0.08,798559000.00,759490000.00,311024248.00,267460585.70,3422164465.00,4620031270.00
1877689227.00,0.19,0.01,0.08,83260000.00,280490000.00,90970861.60,111425457.70,4725273041.00,2343128488.00
1718108690.00,0.19,0.02,0.08,171101000.00,33188000.00,206997075.30,337091918.90,4996882416.00,2323408682.00
1275971286.00,0.19,0.02,0.08,398312000.00,93483000.00,404942840.00,348689240.00,4554866484.00,2602354296.00
1381631897.00,0.21,-0.01,0.09,231849000.00,-154297000.00,240563490.00,161843140.00,4540394543.00,7130095.00
1821546126.00,0.23,0.01,0.08,360843000.00,-4619000.00,146103316.50,540244092.90,7210788658.00,2471521786.00
1705665522.00,0.23,0.01,0.08,47091000.00,201292000.00,33172656.00,162037120.00,7915305602.00,2539916862.00
1731061574.00,0.26,0.00,0.09,365881000.00,-11012000.00,412110830.00,102907960.00,7769826247.00,638207763.90
1755789330.00,0.19,0.00,0.07,267752000.00,-27990000.00,310931828.80,257471540.40,8132968002.00,2668860282.00
1714309945.00,0.24,0.00,0.09,269012000.00,100429000.00,336348795.20,92772248.00,8199455856.00,1557681426.00
1495591521.00,0.25,0.00,0.09,219104000.00,-33196000.00,232117670.00,100852490.00,7996308481.00,319745100.90
1409162952.00,0.22,0.01,0.08,169544000.00,194917000.00,180442674.00,117937276.40,8378723287.00,2288697950.00
1743355641.00,0.19,0.00,0.07,77861000.00,146882000.00,85523614.10,96059389.40,8524039286.00,2128643696.00
1909653979.00,0.26,0.00,0.09,-87414000.00,-420155000.00,-73895520.00,517870120.00,7280598065.00,510625491.80
1675993717.00,0.24,0.01,0.09,74825000.00,285684000.00,36700537.60,115654316.80,7371196327.00,2065029816.00
2010784473.00,0.25,0.01,0.09,208579000.00,400607000.00,156433773.40,-52391315.10,5799150603.00,1581574067.00
1059600450.00,0.19,0.00,0.07,191065000.00,1617000.00,222792392.00,185009400.00,7246347134.00,1758932345.00
1293903584.00,0.27,-0.01,0.09,19976000.00,-219712000.00,34699230.00,238137540.00,7562487113.00,406176041.70
140802166.60,0.08,0.00,0.04,16363000.00,-11742000.00,30433994.00,19533054.00,71880806.51,104279704.30
140802166.60,0.09,0.00,0.04,8386000.00,-249550000.00,30958724.00,251974677.60,82418403.70,110256751.10
141775842.20,0.07,0.01,0.04,32819000.00,1214000.00,46200424.00,26793972.00,77443270.80,133171331.30
141775842.20,0.07,0.01,0.03,43849000.00,26423000.00,45980123.00,13856393.20,86432735.97,137361245.70
141775842.20,0.07,0.01,0.04,37494000.00,26109000.00,39810851.00,6964050.00,83168986.73,113840161.20
141775842.20,0.08,0.01,0.04,21945000.00,-23049000.00,25080777.50,55972896.20,82555294.39,101647888.00
122085701.60,0.08,0.00,0.04,71209000.00,159356000.00,2242880.00,-59209962.40,77843289.24,117120207.60
122085701.60,0.08,0.00,0.04,-2827000.00,16627000.00,-97533.30,7832458.40,77653364.00,104314422.10
122085701.60,0.08,0.01,0.04,35155000.00,16433000.00,38596939.60,20489011.60,79411801.10,156598184.50
122085701.60,0.09,0.01,0.04,3281000.00,24693000.00,8832893.30,4611356.90,25742136.02,134963939.80
191993791.90,0.08,0.00,0.04,-10449000.00,-525000.00,-6769510.40,21392470.40,83494098.47,86176587.87
191993791.90,0.08,0.00,0.04,17750000.00,-7350000.00,21321753.80,29805783.00,87913857.47,92697900.46
191993791.90,0.10,-0.01,0.09,-15965000.00,-18761000.00,-11856050.00,31547220.00,87578063.58,40762613.93
191993791.90,0.05,-0.02,0.02,64223000.00,-68560000.00,66422424.20,88953171.50,58174808.34,139529039.70
189553098.90,0.05,0.00,0.02,13027000.00,27468000.00,2712082.90,7890928.60,112320351.20,221360127.30
